,tweets,sentiment_analysis
0,I ' just watched episode S06 | E08 of !,neutral
1,( ) Share Bloody New Music Video For “ Crucifix ( I Burn For You )” …,negative
2,after 1 hour fighting with my -.- hope it .. weary art problem of the curse kind of …,negative
3,"1x04 Manly . “ Well , it I shot you . And I ' m an idiot , and I ' m sorry . And I ' m in so much …",negative
4,Watching a little on my lunch break and this is still one of the in the entire show,neutral
5,"But it is also that we have not had time to love her and , therefore , any sa …",positive
6,It is not a girl . She …,neutral
7,I think I the wrong,negative
8,I ' just watched episode S06 | E10 of !,neutral
9,I ' just watched episode S06 | E07 of !,neutral
10,I ' just watched episode S06 | E06 of !,neutral
11,"11 : Weapon . pain as a weapon ? I ' m here for it . K , I am legitimately of this - it may be the …",negative
12,I ' just watched episode S06 | E01 of !,neutral
13,They ' t need to go to heaven ( if that ' s what they ' t want ). There a …,positive
14,now i think is time to put together some sweat smile and .. …,positive
15,"6x08 REACTION is now LIVE ! The aftermath of finding out ... HER SEEING ' S , PLEASE . Lin …",positive
16,"Do you like my mask , it ' s and from on . I got it from …",positive
17,I ' just watched episode S05 | E16 of !,neutral
18,done . Now onto the grin …,positive
19,"TEMPLE OF SATAN / BRAZIL - new message , read the image below : satan satanic demon …",neutral
20,i swear when and when they plan to get married was ready to drop on one knee there and then,positive
21,I ' just watched episode S06 | E02 of !,neutral
22,is the truth ... the rest are just heart eyesheart eyesheart eyes,positive
23,I ' just watched episode S06 | E10 of !,neutral
24,I ' just watched episode S06 | E09 of !,neutral
25,B 75 …,neutral
26,THERE ‘ S A P * sobraised back of hand medium light skin tone I MY ASS OFF wearyraised back of hand medium light skin tone IT ‘ S SO BAD THO sobsobsobsob …,negative
27,Love your character in slightly smiling face You ’ re so bubbly & ; sweet heart,positive
28,I ' just watched episode S06 | E04 of !,neutral
29,I ' just watched episode S06 | E04 of !,neutral
30,"hello , it ' s a month since last season .. i mean it ' s time to talk about surprise …",positive
31,I think Dan must have before he discovered chocolate almond milk pudding,neutral
32,"scene from Season 2 . accepted Maze fir who she is , no , no shame . So beautiful F …",negative
33,Why do I get the feeling that castle with is like and but different universe and …,positive
34,I can ’ t share my secret art project just yet so I ’ share this instead . My art - and I …,positive
35,3YearsOfKayamkulamKochunni Gross - ₹ 40cr ROI Gross - ₹ 4cr Overseas Gross - ₹ 24 . 5cr Gross - ₹ 68 . 5cr ( 4th b …,negative
36,Good I just my hubby the same shirt grin at least on thing joyjoy,positive
37,3YearsOfKayamkulamKochunni Gross : 39 . 20 Rest of : 4 Overseas : 24 . 50 World Wide Gross : 67 . 7 …,negative
38,"The devil me spinning addicted well Sir , well",negative
39,is the aka !!!! is a reptilian who works for li …,neutral
40,thanks to camera & ; . yum,positive
41,Just finished watching the final season of and boy was I a mess . Thank you for the ride …,neutral
42,Just because ... 666 …,neutral
43,"Never mind , was just being a child and holding a grudge with Dan !! Amazing episode !",positive
44,Outlander a whole different . is . it to more quirky .,neutral
45,"Very good morning beloved and family ... heartkissing heart A new day , a new week ... Hope everyone is and wish you the be …",positive
46,Love this,positive
47,: we on demon time 1 / 2 Blacktober2021 mammon leviathan satan,neutral
48,gave me a full . Going back and listening to those like I left a world behind 🥲…,positive
49,3YearsOfKayamkulamKochunni Gross : 39 . 20 Rest of : 4 Overseas : 24 . 50 World Wide Gross : 67 . 7 …,negative
50,flushed is Dan already dead and this is his hell loop ?!,negative
51,3YearsOfKayamkulamKochunni Gross - ₹ 40cr ROI Gross - ₹ 4cr Overseas Gross - ₹ 24 . 5cr Gross - ₹ 68 . 5cr ( 4th b …,negative
